Time, Value
33536, 109.05
33548, 109.05
33556, 109.05
33566, 108.81
33574, 108.52
33585, 108.52
33594, 108.48
33602, 108.48
33613, 108.66
33623, 108.5
33631, 108.5
33641, 108.5
33649, 109.15
33657, 109.15
33668, 108.86
33679, 108.95
33688, 108.95
33704, 108.99
33715, 108.89
33724, 109.13
33734, 109.13
33744, 109.13
33753, 109.13
33763, 109.26
33772, 109.56
33782, 109.56
33792, 109.38
33800, 109.54
33811, 109.54
33820, 109.72
33829, 109.72
33840, 109.49
33850, 109.44
33860, 109.22
33871, 109.22
33880, 109.47
33888, 109.47
33897, 109.42
33907, 108.84
33916, 108.84
33926, 108.55
33936, 108.55
33945, 107.84
33954, 107.77
33965, 107.77
33974, 107.9
33984, 107.45
33993, 107.45
34002, 107.6
34013, 107.9
34022, 107.9
34030, 108.15
34040, 108.15
34051, 108.53
34059, 108.4
34068, 108.4
34079, 108.44
34087, 108.44
34097, 108.31
34107, 108.75
34116, 108.75
34126, 108.73
34136, 108.73
34145, 108.06
34154, 108.08
34163, 108.08
34174, 107.9
34183, 107.7
34193, 107.7
34203, 108.27
34212, 108.27
34221, 108.3
34229, 107.94
34238, 107.94
34249, 107.99
34258, 107.99
34267, 108.18
34278, 108.16
34287, 108.16
34297, 108.18
34307, 108.13
34317, 108.13
34326, 108.14
34335, 108.14
34346, 108.09
34357, 107.98
34365, 107.98
34376, 107.68
34384, 107.58
34393, 107.58
34405, 108.02
34413, 108.02
34423, 107.9
34434, 107.86
34442, 107.86
34452, 107.9
34460, 107.89
34471, 107.89
34480, 107.95
34489, 108.17
34499, 108.17
34509, 108.09
34517, 108.09
34527, 107.82
34536, 107.89
34546, 107.89
34557, 108.07
34565, 108.07
34576, 108.24
34585, 108.66
34593, 108.66
34604, 108.55
34613, 108.39
34623, 108.39
34632, 108.24
34641, 108.21
34651, 108.21
34661, 108.12
34671, 108.33
34680, 108.33
34687, 108.25
34699, 108.25
34708, 108.25
34717, 108.75
34727, 108.75
34738, 109.06
34746, 109.06
34756, 109.25
34767, 109.08
34777, 109.08
34786, 109.13
34795, 108.89
34806, 108.89
34816, 108.99
34825, 108.99
34834, 108.7
34845, 108.61
34853, 108.61
34863, 108.69
34873, 108.83
34883, 108.83
34894, 108.86
34904, 108.76
34913, 108.76
34922, 108
34932, 107.76
34941, 107.76
34950, 107.6
34958, 107.6
34969, 108.56
34978, 108.71
34987, 108.71
34998, 108.74
35006, 108.74
35015, 108.53
35026, 109.29
35036, 109.29
35045, 109.12
35060, 109.37
35071, 109.31
35082, 109.31
35092, 109.61
35101, 109.88
35111, 109.88
35121, 109.83
35131, 109.6
35142, 109.6
35152, 109.28
35161, 107.37
35171, 107.37
35181, 107.91
35189, 107.91
35200, 108.01
35208, 108.3
35218, 108.3
35229, 108.53
35237, 108.92
35246, 108.92
35254, 109.12
35265, 109.12
35274, 109.02
35282, 109.02
35294, 109.48
35303, 109.19
35311, 109.19
35322, 109.59
35332, 109.61
35341, 109.61
35352, 109.63
35360, 109.37
35370, 109.37
35380, 109.35
35389, 109.35
35400, 109.22
35408, 109.12
35419, 109.12
35431, 109.1
35439, 109.11
35448, 109.11
35456, 109.15
35467, 109.15
35477, 109.02
35485, 109.13
35496, 109.13
35506, 108.79
35515, 108.52
35526, 108.52
35535, 108.06
35543, 108.06
35555, 108.14
35563, 107.98
35572, 107.98
35582, 108.24
35591, 108.2
35600, 108.2
35609, 108.52
35618, 108.52
35628, 108.6
35637, 108.49
35646, 108.49
35656, 108.64
35665, 108.64
35675, 108.61
35683, 108.48
35694, 108.48
35703, 108.41
35712, 108.42
35725, 108.42
35734, 108.43
35742, 108.43
35752, 108.23
35763, 108.17
35771, 108.17
35780, 108.27
35791, 108.22
35800, 108.22
35809, 108.17
35819, 108.17
35829, 108.51
35839, 108.37
35847, 108.37
35858, 108.18
35866, 107.94
35875, 107.94
35887, 107.98
35895, 107.98
35904, 107.76
35913, 108.47
35923, 108.47
35935, 108.5
35943, 108.5
35953, 108.01
35964, 106.97
35973, 106.97
35982, 107.02
35992, 107.11
36001, 107.11
36010, 107.24
36020, 107.24
36030, 108.28
36039, 108.53
36047, 108.53
36059, 108.2
36067, 108.59
36076, 108.59
36088, 108.47
36097, 108.85
36105, 108.85
36115, 108.78
36126, 108.78
36135, 107.96
36144, 107.63
36155, 107.63
36164, 107.72
36173, 107.72
36184, 107.91
36194, 108.37
36201, 108.37
36211, 108.59
36220, 108.49
36231, 108.49
36239, 109.04
36248, 109.04
36260, 108.96
36268, 109.91
36278, 109.91
36289, 109.71
36297, 109.71
36306, 109.79
36316, 109.58
36325, 109.58
36335, 109.25
36343, 108.98
36354, 108.98
36364, 109.1
36373, 109.1
36383, 109.13
36392, 108.94
36402, 108.94
36413, 109.22
36427, 108.96
36437, 108.42
36446, 108.42
36457, 108.5
36466, 108.5
36474, 108.27
36482, 108.12
36493, 108.12
36503, 107.08
36511, 107.08
36523, 107.09
36533, 106.77
36541, 106.77
36553, 106.81
36562, 107.52
36570, 107.52
