Time, Value
34221, 127.88
34229, 127.89
34238, 127.89
34249, 127.97
34258, 127.97
34267, 127.12
34278, 127.24
34287, 127.24
34297, 127.06
34307, 126.42
34317, 126.42
34326, 126.34
34335, 126.34
34346, 126.5
34357, 126.4
34365, 126.4
34376, 125.83
34384, 125.55
34393, 125.55
34405, 125.81
34413, 125.81
34423, 125.63
34434, 125.36
34442, 125.36
34452, 125.38
34460, 125.33
34471, 125.33
34480, 125.43
34489, 125.17
34499, 125.17
34509, 125.8
34517, 125.8
34527, 126.57
34536, 126.23
34546, 126.23
34557, 125.63
34565, 125.63
34576, 125.77
34585, 127.44
34593, 127.44
34604, 127.13
34613, 126.33
34623, 126.33
34632, 126.67
34641, 126.17
34651, 126.17
34661, 125.74
34671, 126.05
34680, 126.05
34687, 126
34699, 126
34708, 126.2
34717, 125.86
34727, 125.86
34738, 127.18
34746, 127.18
34756, 127.57
34767, 126.03
34777, 126.03
34786, 125.73
34795, 124.99
34806, 124.99
34816, 124.31
34825, 124.31
34834, 124.5
34845, 124.61
34853, 124.61
34863, 124.66
34873, 124.85
34883, 124.85
34894, 125.37
34904, 125.23
34913, 125.23
34922, 126.42
34932, 128.15
34941, 128.15
34950, 129.15
34958, 129.15
34969, 128.93
34978, 127.71
34987, 127.71
34998, 127.9
35006, 127.9
35015, 129.62
35026, 129.25
35036, 129.25
35045, 129.37
35060, 128.71
35071, 128.43
35082, 128.43
35092, 129.06
35101, 129.38
35111, 129.38
35121, 128.57
35131, 126.55
35142, 126.55
35152, 126.28
35161, 126.64
35171, 126.64
35181, 126.52
35189, 126.52
35200, 126.81
35208, 126.19
35218, 126.19
35229, 125.51
35237, 126.45
35246, 126.45
35254, 126.6
35265, 126.6
35274, 126.63
35282, 126.63
35294, 125.55
35303, 125.69
35311, 125.69
35322, 127.15
35332, 126.3
35341, 126.3
35352, 124.83
35360, 124.91
35370, 124.91
35380, 124.72
35389, 124.72
35400, 125.34
35408, 125.64
35419, 125.64
35431, 125.94
35439, 126.15
35448, 126.15
35456, 125.63
35467, 125.63
35477, 125.4
35485, 124.9
35496, 124.9
35506, 124.87
35515, 124.46
35526, 124.46
35535, 124.65
35543, 124.65
35555, 124.56
35563, 124.75
35572, 124.75
35582, 124.78
35591, 124.97
35600, 124.97
35609, 126.4
35618, 126.4
35628, 125.81
35637, 125.96
35646, 125.96
35656, 126.13
35665, 126.13
35675, 126.35
35683, 125.67
35694, 125.67
35703, 125.46
35712, 124.91
35725, 124.91
35734, 125.21
35742, 125.21
35752, 126.89
35763, 125.89
35771, 125.89
35780, 127.72
35791, 128.11
35800, 128.11
35809, 127.36
35819, 127.36
35829, 127.33
35839, 126.98
35847, 126.98
35858, 127.07
35866, 127.23
35875, 127.23
35887, 127.12
35895, 127.12
35904, 126.99
35913, 126.79
35923, 126.79
35935, 126.68
35943, 126.68
35953, 127.75
35964, 128.02
35973, 128.02
35982, 128.35
35992, 127.97
36001, 127.97
36010, 127.34
36020, 127.34
36030, 126.75
36039, 126.38
36047, 126.38
36059, 126.31
36067, 125.29
36076, 125.29
36088, 125.48
36097, 125.53
36105, 125.53
36115, 125.96
36126, 125.96
36135, 126.68
36144, 128.29
36155, 128.29
36164, 129.14
36173, 129.14
36184, 129.47
36194, 127.86
36201, 127.86
36211, 128.42
36220, 127.19
36231, 127.19
36239, 129.98
36248, 129.98
36260, 130.31
36268, 127.77
36278, 127.77
36289, 127.77
36297, 127.77
36306, 126.77
36316, 127.65
36325, 127.65
36335, 127.57
36343, 128.39
36354, 128.39
36364, 128.08
36373, 128.08
36383, 125.9
36392, 125.88
36402, 125.88
36413, 125.57
36427, 125.63
36437, 125.94
36446, 125.94
36457, 126.44
36466, 126.44
36474, 126.84
36482, 126.79
36493, 126.79
36503, 126.87
36511, 126.87
36523, 126.91
36533, 126.18
36541, 126.18
36553, 126.06
36562, 126.55
36570, 126.55
