Time, Value
34059, 88.16
34068, 88.16
34079, 88.44
34087, 88.44
34097, 88.25
34107, 88.65
34116, 88.65
34126, 88.7
34136, 88.7
34145, 87.65
34154, 88.16
34163, 88.16
34174, 88.11
34183, 88.08
34193, 88.08
34203, 88.93
34212, 88.93
34221, 89.2
34229, 89.52
34238, 89.52
34249, 89.52
34258, 89.52
34267, 89.56
34278, 88.77
34287, 88.77
34297, 89.09
34307, 88.49
34317, 88.49
34326, 88.44
34335, 88.44
34346, 88.29
34357, 88.66
34365, 88.66
34376, 87.82
34384, 88.25
34393, 88.25
34405, 88.35
34413, 88.35
34423, 88.49
34434, 87.99
34442, 87.99
34452, 87.91
34460, 87.96
34471, 87.96
34480, 87.87
34489, 87.79
34499, 87.79
34509, 87.84
34517, 87.84
34527, 88.82
34536, 87.91
34546, 87.91
34557, 88.24
34565, 88.24
34576, 88.45
34585, 89.02
34593, 89.02
34604, 88.92
34613, 88.89
34623, 88.89
34632, 88.84
34641, 89.04
34651, 89.04
34661, 89.08
34671, 89.11
34680, 89.11
34687, 89.12
34699, 89.12
34708, 89.12
34717, 88.9
34727, 88.9
34738, 89.18
34746, 89.18
34756, 88.82
34767, 88.63
34777, 88.63
34786, 88.37
34795, 88.3
34806, 88.3
34816, 88.22
34825, 88.22
34834, 89.14
34845, 89.04
34853, 89.04
34863, 88.42
34873, 88.41
34883, 88.41
34894, 88.31
34904, 88.1
34913, 88.1
34922, 87.66
34932, 87.64
34941, 87.64
34950, 88.03
34958, 88.03
34969, 87.87
34978, 88.17
34987, 88.17
34998, 88.03
35006, 88.03
35015, 88.77
35026, 88.22
35036, 88.22
35045, 88.19
35060, 88.23
35071, 88.12
35082, 88.12
35092, 88.37
35101, 88.97
35111, 88.97
35121, 88.87
35131, 89.63
35142, 89.63
35152, 89.03
35161, 88.1
35171, 88.1
35181, 88.14
35189, 88.14
35200, 88.25
35208, 88.14
35218, 88.14
35229, 87.15
35237, 88.54
35246, 88.54
35254, 88.59
35265, 88.59
35274, 88.41
35282, 88.41
35294, 88.17
35303, 88.22
35311, 88.22
35322, 89.23
35332, 88.91
35341, 88.91
35352, 88.82
35360, 88.74
35370, 88.74
35380, 88.79
35389, 88.79
35400, 88.74
35408, 88.71
35419, 88.71
35431, 88.58
35439, 88.62
35448, 88.62
35456, 88.52
35467, 88.52
35477, 88.28
35485, 87.85
35496, 87.85
35506, 87.66
35515, 88.08
35526, 88.08
35535, 87.88
35543, 87.88
35555, 87.6
35563, 87.74
35572, 87.74
35582, 88.93
35591, 88.75
35600, 88.75
35609, 88.73
35618, 88.73
35628, 89.03
35637, 88.9
35646, 88.9
35656, 88.83
35665, 88.83
35675, 88.74
35683, 88.66
35694, 88.66
35703, 88.49
35712, 89.19
35725, 89.19
35734, 88.83
35742, 88.83
35752, 89.61
35763, 89.45
35771, 89.45
35780, 89.57
35791, 88.97
35800, 88.97
35809, 88.98
35819, 88.98
35829, 88.68
35839, 88.72
35847, 88.72
35858, 88.67
35866, 89.4
35875, 89.4
35887, 88.64
35895, 88.64
35904, 89.04
35913, 88.85
35923, 88.85
35935, 88.7
35943, 88.7
35953, 88.85
35964, 88.03
35973, 88.03
35982, 88.35
35992, 88.4
36001, 88.4
36010, 88.55
36020, 88.55
36030, 88.67
36039, 88.99
36047, 88.99
36059, 88.9
36067, 88.8
36076, 88.8
36088, 88.57
36097, 88.95
36105, 88.95
36115, 89.15
36126, 89.15
36135, 89.15
36144, 88.85
36155, 88.85
36164, 89.15
36173, 89.15
36184, 88.88
36194, 88.97
36201, 88.97
36211, 88.99
36220, 88.95
36231, 88.95
36239, 89.09
36248, 89.09
36260, 89.42
36268, 88.94
36278, 88.94
36289, 88.58
36297, 88.58
36306, 88.22
36316, 88.38
36325, 88.38
36335, 88.41
36343, 88.75
36354, 88.75
36364, 88.99
36373, 88.99
36383, 89.91
36392, 89.97
36402, 89.97
36413, 89.31
36427, 88.99
36437, 88.7
36446, 88.7
36457, 88.64
36466, 88.64
36474, 88.66
36482, 88.39
36493, 88.39
36503, 88.31
36511, 88.31
36523, 88.14
36533, 87.56
36541, 87.56
36553, 87.93
36562, 88.56
36570, 88.56
