Time, Value
33800, 171.6
33811, 171.6
33820, 171.82
33829, 171.82
33840, 171.6
33850, 171.62
33860, 171.43
33871, 171.43
33880, 171.82
33888, 171.82
33897, 171.61
33907, 172.46
33916, 172.46
33926, 172.58
33936, 172.58
33945, 172.26
33954, 172.19
33965, 172.19
33974, 172.23
33984, 172.03
33993, 172.03
34002, 171.98
34013, 172.2
34022, 172.2
34030, 172.14
34040, 172.14
34051, 172.28
34059, 172.16
34068, 172.16
34079, 172.63
34087, 172.63
34097, 172.28
34107, 172.93
34116, 172.93
34126, 172.91
34136, 172.91
34145, 172.48
34154, 173.19
34163, 173.19
34174, 173.11
34183, 172.87
34193, 172.87
34203, 173.32
34212, 173.32
34221, 172.25
34229, 172.9
34238, 172.9
34249, 172.87
34258, 172.87
34267, 173.17
34278, 172.16
34287, 172.16
34297, 172.4
34307, 171.76
34317, 171.76
34326, 171.71
34335, 171.71
34346, 171.51
34357, 171.89
34365, 171.89
34376, 171.01
34384, 171.48
34393, 171.48
34405, 171.5
34413, 171.5
34423, 171.99
34434, 171.81
34442, 171.81
34452, 171.65
34460, 171.63
34471, 171.63
34480, 171.53
34489, 171.46
34499, 171.46
34509, 171.39
34517, 171.39
34527, 173.02
34536, 172.09
34546, 172.09
34557, 172.67
34565, 172.67
34576, 172.52
34585, 172.99
34593, 172.99
34604, 172.82
34613, 173.34
34623, 173.34
34632, 173.11
34641, 173.25
34651, 173.25
34661, 173.12
34671, 173.12
34680, 173.12
34687, 173.12
34699, 173.12
34708, 173.7
34717, 173.03
34727, 173.03
34738, 173.35
34746, 173.35
34756, 172.79
34767, 172.76
34777, 172.76
34786, 172.51
34795, 172.84
34806, 172.84
34816, 172.45
34825, 172.45
34834, 173.48
34845, 173.36
34853, 173.36
34863, 172.77
34873, 172.87
34883, 172.87
34894, 172.68
34904, 172.45
34913, 172.45
34922, 172.06
34932, 171.97
34941, 171.97
34950, 172.24
34958, 172.24
34969, 171.91
34978, 172.14
34987, 172.14
34998, 171.74
35006, 171.74
35015, 172.67
35026, 172.02
35036, 172.02
35045, 171.96
35060, 171.79
35071, 172.06
35082, 172.06
35092, 171.96
35101, 172.19
35111, 172.19
35121, 172.04
35131, 173.06
35142, 173.06
35152, 172.58
35161, 172.06
35171, 172.06
35181, 172.06
35189, 172.06
35200, 171.81
35208, 172.06
35218, 172.06
35229, 170.93
35237, 172.88
35246, 172.88
35254, 172.81
35265, 172.81
35274, 172.53
35282, 172.53
35294, 172.61
35303, 172.39
35311, 172.39
35322, 173.6
35332, 172.93
35341, 172.93
35352, 173.02
35360, 172.77
35370, 172.77
35380, 172.98
35389, 172.98
35400, 172.82
35408, 172.76
35419, 172.76
35431, 172.71
35439, 172.75
35448, 172.75
35456, 172.7
35467, 172.7
35477, 172.42
35485, 172.09
35496, 172.09
35506, 171.93
35515, 172.45
35526, 172.45
35535, 172.47
35543, 172.47
35555, 172.29
35563, 171.95
35572, 171.95
35582, 172.81
35591, 172.66
35600, 172.66
35609, 172.48
35618, 172.48
35628, 172.98
35637, 172.61
35646, 172.61
35656, 172.63
35665, 172.63
35675, 172.41
35683, 172.49
35694, 172.49
35703, 172.29
35712, 173.22
35725, 173.22
35734, 172.57
35742, 172.57
35752, 172.9
35763, 172.65
35771, 172.65
35780, 172.65
35791, 172.17
35800, 172.17
35809, 172.36
35819, 172.36
35829, 172
35839, 172.14
35847, 172.14
35858, 171.85
35866, 172.86
35875, 172.86
35887, 171.99
35895, 171.99
35904, 172.5
35913, 172.33
35923, 172.33
35935, 172.39
35943, 172.39
35953, 172.38
35964, 172.14
35973, 172.14
35982, 172.47
35992, 172.42
36001, 172.42
36010, 172.59
36020, 172.59
36030, 172.53
36039, 172.85
36047, 172.85
36059, 172.64
36067, 173.47
36076, 173.47
36088, 173.11
36097, 173.27
36105, 173.27
36115, 173.21
36126, 173.21
36135, 173.64
36144, 173.12
36155, 173.12
36164, 173.28
36173, 173.28
36184, 173.31
36194, 173.55
36201, 173.55
36211, 173.37
36220, 173.56
36231, 173.56
36239, 173
36248, 173
36260, 173.1
36268, 172.67
36278, 172.67
36289, 172.41
36297, 172.41
36306, 172.48
36316, 171.98
36325, 171.98
36335, 172.05
36343, 172.62
36354, 172.62
36364, 172.57
